rank,kanji,count,on_readings,kun_readings,nanori,meanings_en
1035,欠,855185,,,,
1036,京,853667,,,,
1037,群,849414,,,,
1038,医,848626,,,,
1039,録,848256,,,,
1040,緑,847204,,,,
1041,宅,846747,,,,
1042,課,843170,,,,
1043,狩,842117,,,,
1044,便,841543,,,,
1045,歯,841107,,,,
1046,侵,840485,,,,
1047,般,840008,,,,
1048,域,839768,,,,
1049,慮,839340,,,,
1050,史,837360,,,,
1051,央,836482,,,,
1052,煙,835551,,,,
1053,埋,835092,,,,
1054,臓,834759,,,,
1055,鈴,832153,,,,
1056,統,831742,,,,
1057,営,826963,,,,
1058,硬,825667,,,,
1059,湯,823407,,,,
1060,岩,822766,,,,
1061,瀬,822669,,,,
1062,祖,815445,,,,
1063,縁,813949,,,,
1064,借,810220,,,,
1065,雲,810030,,,,
1066,禁,809283,,,,
1067,冬,809034,,,,
1068,濡,807678,,,,
1069,悠,806564,,,,
1070,喋,802661,,,,
1071,陛,800776,,,,
1072,唯,800663,,,,
1073,杯,800360,,,,
1074,貨,800239,,,,
1075,幾,799248,,,,
1076,寒,799154,,,,
1077,遺,798412,,,,
1078,傍,798296,,,,
1079,灯,798197,,,,
1080,廊,796705,,,,
1081,秀,796367,,,,
1082,携,796252,,,,
1083,巡,795662,,,,
1084,賊,791808,,,,
1085,虫,790747,,,,
1086,穏,788229,,,,
1087,測,787529,,,,
1088,唱,784221,,,,
1089,玄,782604,,,,
1090,双,779244,,,,
1091,費,776990,,,,
1092,筈,776850,,,,
1093,緩,773193,,,,
1094,脚,772864,,,,
1095,擦,770590,,,,
1096,裸,770135,,,,
1097,列,769833,,,,
1098,庫,769594,,,,
1099,勿,767255,,,,
1100,垂,766333,,,,
1101,膨,764544,,,,
1102,随,761361,,,,
1103,房,758613,,,,
1104,秋,757173,,,,
1105,択,755600,,,,
1106,砲,754497,,,,
1107,揃,754151,,,,
1108,契,753547,,,,
1109,秒,751976,,,,
1110,伐,751361,,,,
1111,及,747526,,,,
1112,盾,747216,,,,
1113,飾,744883,,,,
